stem,symbol,name,sector,industry
TSM,TSM,Taiwan Semiconductor Manufacturing Company Limited,Information Technology,Semiconductors
TSN,TSN,"Tyson Foods, Inc.",Consumer Staples,Farm Products
TT,TT,Trane Technologies plc,Industrials,Building Products & Equipment
TTD,TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies
TTWO,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia
TWLO,TWLO,Twilio Inc.,Information Technology,Software - Infrastructure
TXN,TXN,Texas Instruments Incorporated,Information Technology,Semiconductors
TXT,TXT,Textron Inc.,Industrials,Aerospace & Defense
TYL,TYL,"Tyler Technologies, Inc.",Information Technology,Software - Application
UAL,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines
UBER,UBER,"Uber Technologies, Inc.",Information Technology,Software - Application
UDR,UDR,"UDR, Inc.",Real Estate,REIT - Residential
UHS,UHS,"Universal Health Services, Inc.",Health Care,Medical Care Facilities
ULTA,ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,Specialty Retail
UMAC,UMAC,"Unusual Machines, Inc.",Information Technology,Computer Hardware
UNH,UNH,UnitedHealth Group Incorporated,Health Care,Healthcare Plans
UNP,UNP,Union Pacific Corporation,Industrials,Railroads
UPS,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics
URI,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services
USAR,USAR,"USA Rare Earth, Inc.",Materials,Other Industrial Metals & Mining
USB,USB,U.S. Bancorp,Financials,Banks - Regional
UUUU,UUUU,Energy Fuels Inc.,Energy,Uranium
V,V,Visa Inc.,Financials,Credit Services
VEEV,VEEV,Veeva Systems Inc.,Health Care,Health Information Services
VIAV,VIAV,Viavi Solutions Inc.,Information Technology,Communication Equipment
VICI,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified
VLO,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing
VLTO,VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls
VMC,VMC,Vulcan Materials Company,Materials,Building Materials
VPG,VPG,"Vishay Precision Group, Inc.",Information Technology,Scientific & Technical Instruments
VRSK,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services
VRSN,VRSN,"VeriSign, Inc.",Information Technology,Software - Infrastructure
VRT,VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts
VRTX,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology
VSH,VSH,"Vishay Intertechnology, Inc.",Information Technology,Semiconductors
VST,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers
VTR,VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities
VTRS,VTRS,Viatris Inc.,Health Care,Drug Manufacturers - Specialty & Generic
VZ,VZ,Verizon Communications Inc.,Communication Services,Telecom Services
WAB,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads
WARTSILA,WRT1V.HE,Wärtsilä Oyj Abp,Industrials,Specialty Industrial Machinery
WAT,WAT,Waters Corporation,Health Care,Diagnostics & Research
WBD,WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment
WDAY,WDAY,"Workday, Inc.",Information Technology,Software - Application
WDC,WDC,Western Digital Corporation,Information Technology,Computer Hardware
WEC,WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric
WELL,WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities
WFC,WFC,Wells Fargo & Company,Financials,Banks - Diversified
WM,WM,"Waste Management, Inc.",Industrials,Waste Management
WMB,WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream
WMT,WMT,Walmart Inc.,Consumer Staples,Discount Stores
WOLF,WOLF,"Wolfspeed, Inc.",Information Technology,Semiconductors
WRB,WRB,W. R. Berkley Corporation,Financials,Insurance - Property & Casualty
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Specialty Retail
WST,WST,"West Pharmaceutical Services, Inc.",Health Care,Medical Instruments & Supplies
WTW,WTW,Willis Towers Watson Public Limited Company,Financials,Insurance Brokers
WY,WY,Weyerhaeuser Company,Real Estate,REIT - Specialty
WYNN,WYNN,"Wynn Resorts, Limited",Consumer Discretionary,Resorts & Casinos
XE,XE,"X-Energy, Inc.",Industrials,Specialty Industrial Machinery
XEL,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric
XOM,XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated
XPEV,XPEV,XPeng Inc.,Consumer Discretionary,Auto Manufacturers
XYL,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery
XYZ,XYZ,"Block, Inc.",Information Technology,Software - Infrastructure
YUM,YUM,"Yum! Brands, Inc.",Consumer Discretionary,Restaurants
ZBH,ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,Medical Devices
ZBRA,ZBRA,Zebra Technologies Corporation,Information Technology,Communication Equipment
ZS,ZS,"Zscaler, Inc.",Information Technology,Software - Infrastructure
ZTS,ZTS,Zoetis Inc.,Health Care,Drug Manufacturers - Specialty & Generic
